,TIPLOC,TOC_New
439,CHARTHM,SE (100.0%)
440,CHATHAM,SE (50.0%); TL (50.0%)
441,CHBURY,GW (100.0%)
442,CHCHSTR,SN (97.33%); ZZ (2.67%)
443,CHDH,AW (15.28%); NT (4.48%); VT (54.63%); WR (0.13%); XC (24.91%); ZZ (0.56%)
444,CHDWLHT,CC (16.0%); LE (20.71%); XR (63.29%)
445,CHEAM,SN (100.0%)
446,CHELFD,AW (37.31%); NT (20.9%); VT (34.33%); XC (5.97%); ZZ (1.49%)
447,CHEPSTW,AW (5.29%); GW (6.86%); XC (53.73%); ZZ (34.12%)
448,CHESHNT,LE (100.0%)
449,CHFD,EM (42.31%); NT (0.64%); XC (54.81%); ZZ (2.24%)
450,CHFDSJ,EM (62.13%); NT (16.92%); XC (20.45%); ZZ (0.5%)
451,CHFIELD,GW (48.92%); WR (0.12%); XC (50.58%); ZZ (0.37%)
452,CHFN,GR (1.46%); LS (0.21%); NT (24.63%); TP (51.44%); WR (0.18%); XC (22.07%)
453,CHIPNHM,GW (87.23%); WR (12.77%)
454,CHLFNAL,CH (100.0%)
455,CHLMSFD,LE (98.81%); ZZ (1.19%)
456,CHLSFLD,SE (98.55%); ZZ (1.45%)
457,CHLTNHM,AW (7.33%); GW (78.01%); WR (1.05%); XC (7.33%); ZZ (6.28%)
458,CHLWTH,GW (96.0%); WR (0.34%); ZZ (3.66%)
459,CHNELSJ,LE (1.19%); LO (97.67%); SO (0.1%); ZZ (1.04%)
460,CHNLYEJ,EM (30.9%); NT (36.32%); TP (32.78%)
461,CHNLYNJ,EM (30.9%); NT (36.32%); TP (32.78%)
462,CHOLSEY,GW (97.14%); LS (2.86%)
463,CHORBUK,NT (12.5%); TP (87.5%)
464,CHORLEY,NT (4.14%); TP (95.1%); VT (0.75%)
465,CHPNJN,LE (100.0%)
466,CHRDJSB,GW (1.69%); SW (98.31%)
467,CHRNGXG,CS (30.43%); SR (69.57%)
468,CHRSTSH,SN (100.0%)
469,CHRW,CH (100.0%)
470,CHSD,SN (100.0%)
471,CHSLHRS,SE (99.91%); ZZ (0.09%)
472,CHSRD,LM (78.95%); XC (21.05%)
473,CHST,AW (68.75%); LS (2.08%); VT (14.58%); ZZ (14.58%)
474,CHSTRNJ,AW (0.14%); ME (99.86%)
475,CHSTRSJ,AW (85.66%); LS (0.14%); VT (10.86%); ZZ (3.35%)
476,CHSW,SE (100.0%)
477,CHTHAP,GR (13.73%); TP (86.27%)
478,CHTLRT,SR (100.0%)
479,CHTR,NT (100.0%)
480,CHTSEY,SW (69.48%); WR (2.6%); ZZ (27.92%)
481,CHUNCTR,ES (100.0%)
482,CKHLCSJ,SR (100.0%)
483,CLAPTNJ,LE (88.17%); LO (11.83%)
484,CLARBRD,AW (100.0%)
485,CLAVRDN,CH (42.86%); LM (57.14%)
486,CLAYXNJ,EM (62.13%); NT (16.92%); XC (20.45%); ZZ (0.5%)
487,CLCHEGJ,LE (100.0%)
488,CLCHHYT,LE (100.0%)
489,CLCHSTR,LE (93.48%); ZZ (6.52%)
490,CLDBDGJ,GC (24.22%); GR (0.25%); NT (45.5%); TP (17.24%); XC (12.03%); ZZ (0.76%)
491,CLDHMLJ,GN (30.48%); LE (56.05%); XC (13.47%)
492,CLDNNRB,LO (100.0%)
493,CLHY,SR (73.13%); ZZ (26.87%)
494,CLITHJN,LS (33.33%); NT (66.67%)
495,CLITHRO,LS (3.45%); NT (72.41%); WR (24.14%)
496,CLMLJN,WR (0.1%); XC (98.01%); ZZ (1.89%)
497,CLMN,SE (100.0%)
498,CLNKRDJ,GW (87.98%); LS (0.62%); SW (10.65%); WR (0.12%); XC (0.12%); ZZ (0.5%)
499,CLOCKHS,SE (100.0%)
500,CLPHHS,LO (33.33%); SN (60.0%); ZZ (6.67%)
501,CLPHMJC,GX (65.16%); SE (2.77%); SN (30.27%); ZZ (1.81%)
502,CLPHMJM,SW (99.61%); ZZ (0.39%)
503,CLPHMJW,SW (89.45%); WR (1.44%); ZZ (9.11%)
504,CLPHMYM,SW (100.0%)
505,CLPLLP,CS (0.62%); GC (10.13%); GR (76.72%); HT (7.0%); LD (5.17%); ZZ (0.36%)
506,CLRBROJ,NT (100.0%)
507,CLRKSTN,SR (100.0%)
508,CLUNSIB,SR (82.7%); ZZ (17.3%)
509,CLYBANK,SR (100.0%)
510,CLYTNWJ,NT (100.0%)
511,CMBLEY,SW (100.0%)
512,CMBRNLD,SR (73.68%); VT (22.11%); WR (4.21%)
513,CMDNJN,CS (1.52%); LM (33.33%); LO (25.38%); LS (0.02%); SO (0.03%); VT (39.34%); WR (0.02%); ZZ (0.36%)
514,CMDNRCJ,CS (25.81%); LO (66.67%); ZZ (7.53%)
515,CMDNRD,LO (100.0%)
516,CMDNRDJ,CS (0.39%); LO (98.85%); SO (0.1%); ZZ (0.66%)
517,CMDNREJ,LO (99.26%); SO (0.1%); ZZ (0.64%)
518,CMDNSTH,CS (1.35%); LM (33.87%); LO (24.78%); LS (0.02%); VT (39.97%); WR (0.02%)
519,CMPRDNJ,CS (4.68%); GR (13.86%); SR (70.88%); XC (7.3%); ZZ (3.28%)
520,CMTHNBG,AW (100.0%)
521,CMTHNJ,AW (90.75%); GW (9.25%)
522,CMUSLP,SR (100.0%)
523,CNCKMGF,LM (100.0%)
524,CNDAW,LO (100.0%)
525,CNDAXO,LO (100.0%)
526,CNNB,LO (100.0%)
527,CNNBYWJ,LO (99.04%); SO (0.1%); ZZ (0.86%)
528,CNNGSJN,CS (0.44%); GC (7.17%); GN (3.22%); GR (54.13%); HT (4.9%); LD (3.66%); TL (26.04%); ZZ (0.44%)
529,CNST,GR (18.0%); SR (68.0%); XC (9.73%); ZZ (4.26%)
530,CNTBE,SE (89.47%); ZZ (10.53%)
531,CNTBW,SE (100.0%)
532,CNTLEY,LE (100.0%)
533,CNTY,CS (100.0%)
534,COATBDC,SR (73.68%); VT (22.11%); WR (4.21%)
535,COATBDS,CS (52.08%); SR (47.92%)
536,COATDYK,CS (100.0%)
537,COBB712,CS (13.79%); GR (6.44%); SR (7.36%); TP (34.25%); VT (26.67%); WR (0.46%); XC (11.03%)
538,COBB713,CS (13.39%); GR (5.77%); SR (7.39%); TP (33.26%); VT (29.56%); XC (10.62%)
539,COCKETW,AW (92.66%); GW (7.34%)
540,CODNBCH,SN (100.0%)
541,CODSALL,AW (100.0%)
542,COGANJ,AW (99.95%); LS (0.05%)
543,COGLOAD,GW (77.75%); LS (0.63%); WR (0.24%); XC (20.94%); ZZ (0.44%)
544,COKEOVJ,LE (100.0%)
545,COKSBDG,SN (100.0%)
546,COLESHL,VT (17.92%); XC (79.25%); ZZ (2.83%)
547,COLSDNS,GX (0.8%); SN (46.4%); TL (52.8%)
548,COLSTWN,SN (100.0%)
549,COLTONJ,CS (0.37%); GC (3.62%); GR (24.4%); LD (3.12%); LS (0.09%); NT (33.6%); TP (23.28%); WR (0.14%); XC (11.31%); ZZ (0.06%)
550,COLTONN,GR (25.0%); LD (60.0%); NT (12.5%); TP (2.5%)
551,COLTONS,NT (47.26%); TP (8.9%); WR (1.37%); XC (42.47%)
552,COLWICH,CS (1.8%); LM (16.88%); LS (0.21%); VT (72.65%); WR (0.66%); XC (0.52%); ZZ (7.28%)
553,COMBE,GW (100.0%)
554,CONGLTN,NT (2.65%); VT (57.52%); WR (0.22%); XC (39.49%); ZZ (0.11%)
555,COPHWJN,GR (2.47%); NT (22.93%); TP (7.05%); WR (0.35%); XC (66.49%); ZZ (0.71%)
556,COPRMLJ,LE (99.23%); LO (0.47%); ZZ (0.3%)
557,COPYPIT,NT (100.0%)
558,CORB974,EM (100.0%)
559,CORBY,EM (56.52%); ZZ (43.48%)
560,COSELEY,AW (26.97%); LM (12.36%); VT (35.96%); XC (24.72%)
561,COSFORD,AW (66.36%); LM (23.82%); LS (1.43%); VT (8.18%); ZZ (0.2%)
562,COSHAM,GW (36.32%); SN (4.84%); SW (49.88%); XC (7.99%); ZZ (0.97%)
563,COSHAMJ,GW (18.13%); SN (35.24%); SW (45.58%); XC (0.93%); ZZ (0.11%)
564,COTNGLY,NT (3.37%); TP (95.51%); WR (1.12%)
565,COVNCRD,LM (99.7%); LS (0.3%)
566,COVNGHJ,LM (51.54%); LS (0.15%); XC (48.31%)
567,COVNTRY,LS (6.9%); VT (20.69%); WR (13.79%); XC (48.28%); ZZ (10.34%)
568,CPNHRST,ME (100.0%)
569,CPYHLDJ,GX (16.35%); SN (40.81%); TL (42.77%); ZZ (0.06%)
570,CRAHALL,CS (9.63%); GR (7.71%); SR (71.1%); ZZ (11.56%)
571,CRAIGO,CS (3.51%); GR (10.39%); SR (78.02%); XC (5.62%); ZZ (2.46%)
572,CRAVENA,AW (99.25%); ZZ (0.75%)
573,CRAWLEY,SN (65.71%); TL (34.29%)
574,CRBTLNJ,TL (100.0%)
575,CRCRFTJ,NT (100.0%)
576,CRDFCEN,AW (54.26%); GW (30.23%); LS (1.55%); ZZ (13.95%)
577,CRDFRBJ,AW (98.41%); GW (1.59%)
578,CREW543,LS (100.0%)
579,CREWBHJ,CS (1.67%); LM (30.99%); LS (0.59%); VT (58.67%); WR (0.61%); XC (0.75%); ZZ (6.73%)
580,CREWE,AW (4.13%); CS (5.23%); VT (84.71%); XC (2.2%); ZZ (3.72%)
581,CREWECY,AW (0.42%); CS (2.64%); LM (23.45%); LS (0.42%); NT (3.12%); VT (68.64%); WR (0.97%); ZZ (0.35%)
582,CREWEGL,AW (83.95%); LS (15.49%); ZZ (0.56%)
583,CREWESW,AW (71.75%); LS (3.21%); VT (22.79%); ZZ (2.25%)
584,CREWSBG,AW (22.86%); NT (47.63%); VT (26.7%); XC (2.16%); ZZ (0.65%)
585,CREWSGJ,ZZ (100.0%)
586,CREWSJN,EM (40.44%); LM (51.68%); NT (3.45%); VT (2.99%); XC (1.45%)
587,CREWSSN,ZZ (100.0%)
588,CREWUML,AW (3.7%); NT (87.3%); VT (3.7%); XC (5.29%)
589,CRFD,SE (99.67%); ZZ (0.33%)
590,CRFDCKJ,SE (80.9%); TL (19.1%)
591,CRFDSPA,SE (82.48%); TL (17.52%)
592,CRFDSPB,SE (99.95%); ZZ (0.05%)
593,CRFTNEJ,GC (21.73%); GR (0.31%); NT (52.14%); TP (11.91%); XC (13.69%); ZZ (0.21%)
594,CRFTNWJ,GC (24.76%); GR (0.26%); NT (44.11%); TP (17.63%); XC (12.47%); ZZ (0.77%)
595,CRGDRNJ,CS (3.56%); SR (95.58%); WR (0.29%); ZZ (0.57%)
596,CRGISTH,CS (3.52%); GR (10.41%); SR (78.13%); XC (5.49%); ZZ (2.46%)
597,CRGNTYJ,CS (0.54%); GR (29.82%); LD (4.7%); SR (41.1%); TP (6.96%); VT (0.68%); WR (0.09%); XC (15.32%); ZZ (0.79%)
598,CRHL,GN (50.0%); TL (50.0%)
599,CRISTSJ,CC (100.0%)
600,CRKLDER,TL (57.14%); ZZ (42.86%)
601,CRKLDNJ,EM (3.06%); TL (96.94%)
602,CRKLREC,TL (100.0%)
603,CRKLWCJ,EM (75.0%); WR (6.25%); ZZ (18.75%)
604,CRKLWD,EM (59.53%); TL (38.12%); ZZ (2.35%)
605,CRKLWDJ,EM (84.62%); ZZ (15.38%)
606,CRKLWSJ,EM (66.67%); TL (29.61%); ZZ (3.73%)
607,CRKRN,GW (69.23%); SW (30.77%)
608,CRLN,SE (91.25%); TL (6.88%); ZZ (1.88%)
609,CRLORTJ,SR (8.19%); VT (17.54%); WR (1.17%); XC (60.82%); ZZ (12.28%)
610,CRLTOTL,CS (0.66%); GC (10.73%); GR (75.34%); HT (7.42%); LD (5.47%); ZZ (0.38%)
611,CRMRSEJ,CS (3.26%); GR (6.26%); SR (88.85%); VT (1.37%); WR (0.26%)
612,CRMRSWJ,SR (98.56%); VT (1.21%); WR (0.23%)
613,CRNF,NT (39.78%); WR (60.22%)
614,CRNFNJN,CS (2.64%); LS (0.28%); NT (42.07%); TP (22.62%); VT (28.5%); WR (3.9%)
615,CRNFSJN,TP (8.33%); WR (91.67%)
616,CRNG,SE (92.66%); ZZ (7.34%)
617,CRNGX,SE (100.0%)
618,CROESNF,AW (100.0%)
619,CROFTS,XC (99.44%); ZZ (0.56%)
620,CROGAR,NT (97.47%); WR (2.53%)
621,CROUCHH,LO (100.0%)
622,CROWLE,TP (94.99%); ZZ (5.01%)
623,CROY,SR (99.5%); ZZ (0.5%)
624,CRPHLY,AW (100.0%)
625,CRPNDPK,LO (100.0%)
626,CRSHLTB,SN (81.13%); TL (18.87%)
627,CRSHLTN,SN (100.0%)
628,CRSKEYS,AW (100.0%)
629,CRSKYJN,AW (100.0%)
630,CRSMYLF,SR (100.0%)
631,CRSTRS,CS (1.91%); GR (5.05%); TP (34.32%); VT (49.76%); XC (8.96%)
632,CRSTRSE,CS (13.59%); GR (6.11%); SR (7.37%); TP (33.76%); VT (28.11%); WR (0.23%); XC (10.83%)
633,CRSTRSS,CS (5.5%); TP (41.57%); VT (52.79%); WR (0.14%)
634,CRTN,EM (100.0%)
635,CRWHRST,SE (100.0%)
636,CRWNSTJ,NT (100.0%)
637,CRWTHRN,GW (100.0%)
638,CRYS167,SN (100.0%)
639,CRYSBRJ,SE (0.63%); SN (98.27%); TL (1.0%); WR (0.1%)
640,CRYSTLP,SE (3.86%); SN (89.43%); TL (6.1%); WR (0.61%)
641,CSEAH,LO (90.91%); ZZ (9.09%)
642,CSGT,GR (1.36%); LS (0.19%); NT (21.77%); TP (58.61%); WR (0.06%); XC (18.01%)
643,CSMLX,ES (35.11%); SE (64.89%)
644,CSTLTEJ,NT (92.64%); TP (7.27%); WR (0.09%)
645,CSTR,AW (100.0%)
646,CTMSLNK,TL (100.0%)
647,CTNG,SN (100.0%)
648,CTRDJN,EM (35.36%); TL (64.47%); ZZ (0.17%)
649,CTSARTJ,AW (100.0%)
650,CTTGHM,NT (100.0%)
651,CUFFLEY,GN (28.3%); TL (71.7%)
652,CULDNMR,CS (9.73%); GR (7.78%); SR (70.82%); ZZ (11.67%)
653,CULHAM,GW (100.0%)
654,CULRAIN,SR (100.0%)
655,CUPAR,CS (8.96%); GR (26.52%); SR (39.43%); XC (17.56%); ZZ (7.53%)
656,CUSTMHS,XR (100.0%)
657,CVLESBY,AW (100.0%)
658,CVLWSBY,AW (100.0%)
659,CWBRDSB,AW (99.69%); LS (0.31%)
660,CWDNBTH,SR (30.43%); XC (69.57%)
661,CWLRSEJ,SR (75.0%); ZZ (25.0%)
662,CWLRSNJ,SR (98.7%); ZZ (1.3%)
663,CWLRSSJ,SR (100.0%)
664,CWLRSWJ,SR (99.84%); ZZ (0.16%)
665,CWLYBDG,GW (73.51%); LS (0.76%); WR (0.19%); XC (25.02%); ZZ (0.52%)
666,CXTN,SE (98.28%); ZZ (1.72%)
667,DAGNMJN,ES (25.05%); SE (74.95%)
668,DAINTNT,GW (73.86%); WR (0.22%); XC (25.52%); ZZ (0.39%)
669,DAISYH,NT (100.0%)
670,DALAMBR,AW (19.67%); CS (3.48%); LS (0.55%); NT (16.1%); VT (59.19%); WR (0.64%); ZZ (0.37%)
671,DALMUIR,SR (83.33%); WR (16.67%)
672,DALRY,SR (96.54%); ZZ (3.46%)
673,DALS,LO (100.0%)
674,DALSKLD,LO (100.0%)
675,DALTONJ,LS (0.29%); NT (99.71%)
676,DALWHIN,GR (15.15%); SR (77.27%); ZZ (7.58%)
677,DARTFD,SE (99.2%); ZZ (0.8%)
678,DARTFDJ,SE (83.61%); TL (16.36%); ZZ (0.03%)
679,DAVNPRT,EM (26.47%); NT (38.24%); TP (35.29%)
680,DAWLISH,GW (62.01%); LS (1.18%); WR (0.29%); XC (35.71%); ZZ (0.81%)
681,DAWLSHW,GW (73.53%); LS (0.77%); WR (0.1%); XC (25.41%); ZZ (0.19%)
682,DEAL,SE (100.0%)
683,DEAN,GW (87.67%); SW (11.84%); XC (0.49%)
684,DEIGHTN,NT (5.17%); TP (93.1%); WR (0.86%); ZZ (0.86%)
685,DENMRKH,LO (8.89%); SE (53.51%); SN (12.32%); TL (11.23%); ZZ (14.04%)
686,DENSGTJ,AW (6.8%); NT (93.2%)
687,DEPTFD,SE (80.77%); TL (19.23%)
688,DERB017,LE (100.0%)
689,DERB018,LE (100.0%)
690,DEVNPRT,GW (100.0%)
691,DGNHMDC,CC (94.58%); WR (2.41%); ZZ (3.01%)
692,DIDCOTP,GW (98.6%); LS (0.47%); WR (0.56%); ZZ (0.37%)
693,DIDCTEJ,GW (81.94%); LS (0.05%); WR (0.11%); XC (17.52%); ZZ (0.38%)
694,DIDCTNJ,GW (81.02%); LS (0.06%); XC (18.81%); ZZ (0.12%)
695,DIGGLEJ,NT (1.24%); TP (98.4%); WR (0.09%); ZZ (0.27%)
696,DIGSWEL,GN (5.39%); GR (0.64%); TL (93.85%); ZZ (0.12%)
697,DILTONM,GW (100.0%)
698,DINSDAL,GC (1.79%); NT (83.93%); TP (14.29%)
699,DISS,LE (90.32%); ZZ (9.68%)
700,DITTNWJ,VT (100.0%)
701,DITTON,AW (33.71%); LM (30.8%); NT (4.19%); VT (31.21%); ZZ (0.09%)
702,DLMYJN,CS (1.96%); GR (5.82%); SR (85.15%); XC (4.4%); ZZ (2.67%)
703,DLNCRDH,CS (10.87%); GR (8.7%); SR (73.26%); ZZ (7.17%)
704,DLNSPDL,CS (10.87%); GR (8.7%); SR (73.26%); ZZ (7.17%)
705,DLREOCH,CS (15.87%); SR (80.32%); WR (1.27%); ZZ (2.54%)
706,DLRYMPL,SR (100.0%)
707,DLTN,CS (8.36%); GC (1.39%); GR (10.1%); LD (58.54%); LS (0.7%); NT (16.38%); TP (2.09%); WR (1.05%); ZZ (1.39%)
708,DMARSHJ,AW (100.0%)
709,DMBRTNC,SR (91.49%); WR (2.84%); ZZ (5.67%)
710,DMBRTNE,SR (100.0%)
711,DNBGHNJ,VT (100.0%)
712,DNBGHSJ,LM (94.87%); VT (5.13%)
713,DNFRMLE,SR (30.43%); XC (69.57%)
714,DNTG,NT (100.0%)
715,DNTONJN,NT (28.57%); WR (28.57%); ZZ (42.86%)
716,DNTOSTJ,NT (28.57%); WR (28.57%); ZZ (42.86%)
717,DOCKYDP,GW (100.0%)
718,DOKJNSP,EM (35.82%); TL (64.18%)
719,DOKJSSP,EM (98.89%); TL (1.11%)
720,DOLEHAM,SN (100.0%)
721,DOLPHNJ,GW (83.57%); HX (0.94%); XR (15.49%)
722,DONC,GC (16.87%); GR (63.54%); LD (17.43%); ZZ (2.16%)
723,DONCBCJ,EM (0.65%); GC (4.55%); GR (85.71%); HT (9.09%)
724,DONCBJN,CS (1.8%); EM (47.31%); GC (1.2%); GR (31.44%); HT (7.19%); ZZ (11.08%)
725,DONCDNJ,CS (1.99%); EM (52.32%); GC (1.32%); GR (34.77%); HT (7.95%); ZZ (1.66%)
726,DONCDSJ,CS (2.3%); EM (60.54%); GR (31.8%); HT (1.53%); ZZ (3.83%)
727,DONCHJN,NT (61.27%); TP (30.15%); XC (8.22%); ZZ (0.36%)
728,DONCLCJ,CS (0.49%); GC (10.75%); GR (75.47%); HT (7.43%); LD (5.48%); ZZ (0.38%)
729,DONCPCJ,EM (0.65%); GC (4.55%); GR (85.71%); HT (9.09%)
730,DONCSJJ,ZZ (100.0%)
731,DORESJ,EM (100.0%)
732,DORESNJ,EM (48.95%); NT (25.02%); TP (12.29%); XC (13.7%); ZZ (0.04%)
733,DOREWJ,EM (33.06%); NT (31.87%); TP (35.07%)
734,DORIDGE,CH (75.26%); LM (11.21%); TY (1.69%); XC (11.84%)
735,DORKING,SN (100.0%)
736,DORNGTN,AW (99.83%); ZZ (0.17%)
737,DOVERP,SE (76.56%); ZZ (23.44%)
738,DOWNHAM,GN (17.39%); LE (82.61%)
739,DRAYGRN,CH (96.55%); LS (3.45%)
740,DRBY,EM (82.8%); NT (0.16%); ZZ (17.04%)
741,DRBYCHC,ZZ (100.0%)
742,DRBYLNW,EM (21.12%); WR (0.08%); XC (77.27%); ZZ (1.53%)
743,DRBYSMN,EM (94.87%); ZZ (5.13%)
744,DRBYSMS,EM (74.97%); NT (0.1%); XC (24.46%); ZZ (0.47%)
745,DRBYWWJ,EM (67.52%); NT (0.08%); WR (0.06%); XC (30.28%); ZZ (2.06%)
746,DRCHJN,GW (22.66%); LS (0.29%); SW (77.06%)
747,DRCHS,SW (100.0%)
748,DRCHW,GW (60.0%); LS (40.0%)
749,DRDAYSJ,GW (83.28%); WR (0.08%); XC (16.51%); ZZ (0.13%)
750,DREMJ,CS (1.09%); GR (53.39%); LD (8.42%); SR (2.9%); TP (10.86%); WR (0.09%); XC (23.26%)
751,DRHM,CS (2.48%); GC (0.41%); GR (54.44%); LD (20.66%); LS (0.21%); NT (18.6%); TP (2.89%); WR (0.31%)
752,DRIFILD,NT (100.0%)
753,DRKGW,GW (96.0%); WR (0.34%); ZZ (3.65%)
754,DRLSTNJ,AW (3.88%); LM (85.88%); LS (0.5%); VT (3.75%); WR (0.25%); XC (5.75%)
755,DRNGTOS,SN (100.0%)
756,DRNSFDR,SW (100.0%)
757,DRTW68,LM (96.64%); LS (0.2%); XC (3.16%)
758,DRTWCHS,LM (26.0%); XC (74.0%)
759,DRUMRY,SR (100.0%)
760,DTNG,SE (98.85%); ZZ (1.15%)
761,DUBBSJ,SR (100.0%)
762,DUDESTN,AW (3.57%); LM (85.71%); XC (10.71%)
763,DUDLPT,AW (15.08%); LM (41.57%); VT (25.17%); WR (0.05%); XC (18.13%)
764,DUDNGHJ,WR (6.67%); ZZ (93.33%)
765,DUFRYNW,AW (92.64%); GW (7.36%)
766,DUKEST,SR (100.0%)
767,DULNGHM,LE (100.0%)
768,DUMFRES,LS (7.69%); VT (92.31%)
769,DUMPTNP,SE (100.0%)
770,DUNANE,GR (5.64%); SR (94.36%)
771,DUNBAR,CS (1.54%); GR (65.08%); LD (11.94%); TP (1.93%); WR (0.13%); XC (19.38%)
772,DUNDCJ,CS (2.28%); GR (6.74%); SR (83.3%); XC (4.46%); ZZ (3.23%)
773,DUNDETB,SR (76.0%); ZZ (24.0%)
774,DUNKELD,GR (49.32%); SR (32.88%); ZZ (17.81%)
775,DUNROD,SR (99.24%); ZZ (0.76%)
776,DURSLEY,GW (100.0%)
777,DVNTYNJ,CS (0.38%); LM (85.21%); LS (0.32%); VT (6.32%); WR (1.9%); ZZ (5.88%)
778,DWBY,NT (1.95%); TP (97.77%); WR (0.28%)
779,DYCE,SR (31.37%); ZZ (68.63%)
780,DYCLJN,GC (8.81%); NT (91.19%)
781,DYNEVRJ,AW (97.5%); LS (2.5%)
782,EALINGB,GW (58.71%); HX (28.65%); WR (1.12%); XR (5.34%); ZZ (6.18%)
783,EARLSWD,GW (6.79%); GX (12.02%); SN (38.99%); TL (42.17%); ZZ (0.04%)
784,EBBWJ,AW (38.83%); GW (46.63%); LS (0.04%); XC (11.3%); ZZ (3.2%)
785,EBOU501,SN (100.0%)
786,EBSFEJN,ES (35.11%); SE (64.89%)
787,EBSFLTI,SE (100.0%)
788,EBSFWJN,ES (25.05%); SE (74.95%)
789,EBWVPWY,AW (100.0%)
790,ECCLES,AW (30.29%); EM (1.17%); NT (40.88%); TP (25.06%); VT (2.13%); WR (0.33%); ZZ (0.13%)
791,ECLSFLW,NT (100.0%)
792,ECPK,NT (100.0%)
793,ECROYDN,GX (66.16%); SE (4.29%); SN (19.7%); TL (7.86%); WR (0.15%); ZZ (1.84%)
794,EDALE,EM (44.14%); NT (5.98%); TP (49.87%)
795,EDALE16,EM (30.99%); NT (36.57%); TP (32.44%)
796,EDENVGL,CS (5.03%); LS (0.53%); TP (40.21%); VT (53.97%); WR (0.26%)
797,EDGH,AW (13.24%); EM (9.09%); LM (12.1%); NT (33.87%); TP (17.07%); VT (14.64%)
798,EDGHSB,AW (9.72%); EM (6.67%); LM (8.88%); NT (51.44%); TP (12.53%); VT (10.75%)
799,EDIDBRY,AW (8.5%); NT (43.14%); TP (48.37%)
800,EDINBUR,SR (100.0%)
801,EDNB,SE (100.0%)
802,EDNT,SN (100.0%)
803,EDULWCH,SN (100.0%)
804,EFARLGH,SE (93.75%); ZZ (6.25%)
805,EFNGHMJ,SW (100.0%)
806,EGLNSTJ,CS (3.92%); GR (2.59%); SR (45.08%); TP (17.32%); VT (26.76%); XC (4.32%)
807,EGLSCLF,GC (0.26%); GR (3.7%); NT (14.55%); TP (81.48%)
808,EGRFRTH,NT (0.98%); TP (85.29%); WR (0.98%); XC (12.75%)
809,EJSTNGB,SE (98.2%); ZZ (1.8%)
810,ELDRSLI,SR (98.73%); ZZ (1.27%)
811,ELGH,SW (74.44%); XC (24.57%); ZZ (0.99%)
812,ELGH241,ZZ (100.0%)
813,ELGH243,XC (100.0%)
814,ELGHABK,SW (11.11%); ZZ (88.89%)
815,ELGHEJN,GW (1.95%); SW (97.49%); XC (0.56%)
816,ELGHSJN,GW (4.68%); SN (4.68%); SW (83.74%); XC (3.51%); ZZ (3.4%)
817,ELGHSLJ,SW (99.43%); XC (0.57%)
818,ELGIN,ZZ (100.0%)
819,ELLBNLL,LO (100.0%)
820,ELMERSE,SE (100.0%)
821,ELMW,SE (100.0%)
822,ELPHNAC,SE (16.59%); TL (83.41%)
823,ELTHAM,SE (100.0%)
824,ELTR,EM (29.41%); TL (70.59%)
825,ELYY,LE (60.87%); XC (39.13%)
826,ELYYDLN,GN (44.4%); LE (35.98%); XC (19.62%)
827,ELYYNJN,EM (29.8%); GN (23.75%); LE (29.29%); XC (17.16%)
828,ELYYWJN,EM (100.0%)
829,EMALING,SE (100.0%)
830,EMPKWAY,EM (62.3%); XC (37.7%)
831,EMSWTH,SN (99.47%); ZZ (0.53%)
832,ENFC,GN (31.25%); TL (68.75%)
833,EPSM,SN (6.25%); SW (93.75%)
834,EPUTNEY,SW (100.0%)
835,ERDNGTN,LM (78.95%); XC (21.05%)
836,ERITH,SE (26.53%); TL (73.47%)
837,ERLES31,EM (29.22%); NT (36.42%); TP (34.36%)
838,ERLESDG,EM (30.9%); NT (36.32%); TP (32.78%)
839,ERLFLD,SW (100.0%)
840,ERLSTWN,AW (8.41%); EM (3.46%); NT (19.41%); TP (68.36%); ZZ (0.37%)
841,ERLY,GW (88.97%); SW (8.6%); WR (0.25%); XC (2.06%); ZZ (0.12%)
842,ERROLLC,SR (95.38%); ZZ (4.62%)
843,ESHER,SW (100.0%)
844,ESHS,CS (100.0%)
845,ESJLEDS,GC (1.21%); GR (0.18%); NT (87.62%); TP (8.88%); WR (0.07%); XC (2.05%)
846,ESTFLDS,SN (60.0%); TL (40.0%)
847,ESTRNGT,HT (5.26%); NT (39.47%); TP (55.26%)
848,ESTSOMJ,GW (86.59%); LS (0.71%); SW (11.85%); WR (0.14%); XC (0.14%); ZZ (0.57%)
849,ETILBRY,ZZ (100.0%)
850,EUXT,CS (7.52%); NT (49.62%); TP (2.26%); VT (38.35%); WR (2.26%)
851,EUXTONJ,CS (1.64%); LS (0.26%); NT (53.23%); TP (14.85%); VT (29.17%); WR (0.84%)
852,EVESHAM,ZZ (100.0%)
853,EWELLE,SN (100.0%)
854,EWELW,SW (100.0%)
855,EWERSTJ,SE (100.0%)
856,EWRTHNG,SN (90.48%); TL (9.52%)
857,EXETERC,GW (79.41%); SW (20.59%)
858,EXETRSD,LS (88.89%); WR (11.11%)
859,EXETRST,GW (100.0%)
860,EXMOTHJ,GW (63.56%); SW (36.44%)
861,EYNSFD,SE (100.0%)
862,FACTRYJ,LO (63.25%); SE (32.48%); SN (3.92%); TL (0.13%); ZZ (0.22%)
863,FALCNWD,SE (100.0%)
864,FALKRKH,SR (96.88%); ZZ (3.12%)
865,FAMBDGE,LE (100.0%)
866,FAMR,SN (85.34%); TL (14.66%)
